Date,MinTemp,MaxTemp,Rainfall,WindGustDir,WindDir,WindSpeed,Humidity,Pressure,Cloud,Temp,Rain
2/1/2008,19.5,22.4,15.6,W,SSW,17,92,1017.4,8,20.9,Yes
2/2/2008,19.5,25.6,6,W,E,9,83,1016.4,7,24.8,Yes
2/3/2008,21.6,24.5,6.6,W,ESE,17,88,1015.6,7,23,Yes
2/4/2008,20.2,22.8,18.8,W,E,22,83,1011.8,8,20.9,Yes
2/5/2008,19.7,25.7,77.4,W,W,11,88,1004.8,8,25.5,Yes
2/6/2008,20.2,27.2,1.6,W,ENE,9,69,998.6,6,26,Yes
2/7/2008,18.6,26.3,6.2,W,S,15,75,1000.3,4,22.3,Yes
2/8/2008,17.2,22.3,27.6,W,SE,7,77,1007.4,7,21.1,Yes
2/9/2008,16.4,20.8,12.6,W,W,19,92,1007.6,7,16.5,Yes
2/10/2008,14.6,24.2,8.8,W,SSE,11,80,1013.4,4,23.3,Yes
2/11/2008,16.4,23.9,0,W,E,9,78,1015.3,7,23.7,No
2/12/2008,18.9,27.3,0,W,NE,7,68,1007.5,7,24.7,No
2/13/2008,18.4,22.8,14.4,W,S,24,87,1011.7,8,21,Yes
2/14/2008,16.9,24.3,3,W,SSE,15,81,1016.5,7,23.3,Yes
2/15/2008,18.3,24.4,0,W,SSE,19,80,1018.9,7,23.8,No
2/16/2008,16.7,24.1,0,W,SSE,11,77,1022.6,7,23.3,No
2/17/2008,19.5,24.8,0,W,ESE,13,63,1023.1,7,23.4,No
2/18/2008,18.6,25.3,0,W,ENE,13,70,1019.4,7,23.8,No
2/19/2008,19,24.8,0,W,E,7,79,1015.4,7,23.4,No
2/20/2008,18.3,26.4,0,W,E,13,80,1010.8,3,25.2,No
2/21/2008,20.6,26.8,0,W,SE,4,86,1009.7,7,24.9,No
2/22/2008,19.1,25.4,0.4,W,E,11,77,1003.1,4,24.9,No
2/23/2008,20.5,26,0,W,ESE,20,38,1007,1,24,No
2/24/2008,16.5,28.3,0,W,ESE,11,48,1008,0,26.1,No
2/25/2008,20.5,24.2,0,W,E,15,58,1016.9,7,23.5,No
2/26/2008,19.3,26.2,0,W,E,2,73,1015.6,1,25.8,No
2/27/2008,19,29,22.2,W,NNE,0,82,1010.6,7,24.7,Yes
2/28/2008,17.9,21.4,4.2,W,ESE,20,77,1010.1,8,19.2,Yes
2/29/2008,14.7,20.6,33,W,S,24,65,1015.6,5,19.9,Yes
3/1/2008,12.8,22,0.2,W,SSE,19,55,1020.6,0,21.2,No
3/2/2008,14.2,23.4,5.4,W,SE,13,93,1025.2,7,22.4,Yes
3/3/2008,15,23.1,0.2,W,ENE,15,78,1022.5,1,22.5,No
3/4/2008,15.5,25.4,0,W,E,9,77,1018.6,0,23.8,No
3/5/2008,18.7,25.8,0,W,ESE,19,72,1024.2,6,24.1,No
3/6/2008,19.6,26,0,W,ENE,11,67,1019.8,1,24.7,No
3/7/2008,19.9,24.9,0,W,SSE,13,83,1020.7,5,23.3,No
3/8/2008,16.5,24.8,17.4,W,E,9,88,1022.3,1,21.5,Yes
3/9/2008,16.4,24.3,0,W,E,9,82,1025.2,1,23.8,No
